0,0,X,0,0,0,0,X,0,0,0,0,0,0,0,X,0,0,0,6,0,0,0,0,0,0,0,5,0,0,0,X,0,0,0,0,0,0,0,X,0,0,0,0,X,0,0
0,0,X,0,0,0,0,X,0,0,0,0,0,0,0,X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,0,0,0,0,0,0,0,X,0,0,0,0,X,0,0
0,0,X,0,0,0,0,6,X,X,7,X,X,X,X,9,X,X,X,X,7,X,X,X,X,X,7,X,X,X,X,9,X,X,X,X,7,X,X,5,0,0,0,0,X,0,0
0,0,X,0,0,0,0,0,0,0,X,0,0,0,0,0,0,0,0,0,X,0,0,0,0,0,X,0,0,0,0,0,0,0,0,0,X,0,0,0,0,0,0,0,X,0,0
0,0,X,0,0,0,0,0,0,0,X,0,0,0,0,0,0,0,0,0,X,0,0,0,0,0,X,0,0,0,0,0,0,0,0,0,X,0,0,0,0,0,0,0,X,0,0
0,0,6,X,X,7,X,X,X,X,8,0,0,0,0,3,X,X,X,X,5,0,0,0,0,0,6,X,X,X,X,4,0,0,0,0,10,X,X,X,X,7,X,X,5,0,0
0,0,0,0,0,X,0,0,0,0,X,0,0,0,0,X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,0,0,0,0,X,0,0,0,0,X,0,0,0,0,0
0,0,0,0,0,X,0,0,0,0,X,0,0,0,0,X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,0,0,0,0,X,0,0,0,0,X,0,0,0,0,0
0,0,3,X,X,5,0,0,0,0,10,X,X,X,X,9,X,X,X,X,7,X,X,X,X,X,7,X,X,X,X,9,X,X,X,X,8,0,0,0,0,6,X,X,4,0,0
0,0,X,0,0,0,0,0,0,0,X,0,0,0,0,0,0,0,0,0,X,0,0,0,0,0,X,0,0,0,0,0,0,0,0,0,X,0,0,0,0,0,0,0,X,0,0
0,0,X,0,0,0,0,0,0,0,X,0,0,0,0,0,0,0,0,0,X,0,0,0,0,0,X,0,0,0,0,0,0,0,0,0,X,0,0,0,0,0,0,0,X,0,0
0,0,10,X,X,X,X,X,X,X,8,0,0,0,0,3,X,X,X,X,5,0,0,0,0,0,6,X,X,X,X,4,0,0,0,0,10,X,X,X,X,X,X,X,8,0,0
0,0,X,0,0,0,0,0,0,0,X,0,0,0,0,X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,0,0,0,0,X,0,0,0,0,0,0,0,X,0,0
0,0,X,0,0,0,0,0,0,0,X,0,0,0,0,X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,0,0,0,0,X,0,0,0,0,0,0,0,X,0,0
0,0,6,X,X,X,X,X,X,X,5,0,0,0,0,6,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,5,0,0,0,0,6,X,X,X,X,X,X,X,5,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
